q, coeff
1.0e-8,0.9854622924657518
0.0200000098,1.0452241460909875
0.0400000096,1.078261837317742
0.0600000094,1.100560185965657
0.0800000092,1.1166989301455055
0.100000009,1.1285297346234622
0.1200000088,1.137071312653261
0.1400000086,1.1430779227450707
0.1600000084,1.1467893094651287
0.1800000082,1.1490391778831437
0.200000008,1.1498424679937354
0.2200000078,1.149522373813483
0.2400000076,1.1483418685690883
0.2600000074,1.1464384963568426
0.2800000072,1.1439436229904818
0.300000007,1.1409708310555782
0.3200000068,1.1375999905040852
0.3400000066,1.133899511552952
0.3600000064,1.1299621045938648
0.3800000062,1.1258205162409245
0.400000006,1.1215193826564342
0.4200000058,1.1171098276323288
0.4400000056,1.112613271253866
0.4600000054,1.1080575201011007
0.4800000052,1.1034680272566706
0.500000005,1.098860923037509
0.5200000048,1.0942594406902142
0.5400000046,1.0896687243019807
0.5600000044,1.0851040690092493
0.5800000042,1.0805755218467816
0.600000004,1.0760924051335174
0.6200000038,1.0716569433605698
0.6400000036,1.067274609375309
0.6600000034,1.0629535675375692
0.6800000032,1.05869349047597
0.700000003,1.0545007102244055
0.7200000028,1.0503722381015932
0.7400000026,1.046313253546301
0.7600000024,1.0423219708522968
0.7800000022,1.038406464276654
0.800000002,1.0345555863299256
0.8200000018,1.030777051004371
0.8400000016,1.0270716202333459
0.8600000014,1.0234371665524984
0.8800000012,1.0198718948373355
0.900000001,1.016382331874672
0.9200000008,1.0129717126434545
0.9400000006,1.0096221663155118
0.9600000004,1.0063446097570745
0.9800000002,1.0031392078273607
1.0,1.0000016566589285
