N,obj
10,0.03607606522306979
15,0.02188720385815014
20,0.015181561994292351
25,0.01137143724597109
30,0.008954188126953484
35,0.007303156608937258
40,0.006114099233768454
45,0.005222859327582777
50,0.00453364249210271
55,0.003987128160370718
60,0.003544746859736119
65,0.003180431454422885
70,0.0028759859706231463
75,0.002618363249330898
80,0.0023979630911128897
85,0.0022075981756154005
90,0.0020417754282686367
95,0.0018962376923454243
100,0.001767635515735061
105,0.0016533113861716498
110,0.00155111287049945
115,0.001459294637123738
120,0.0013764242538472906
125,0.0013013118013381541
130,0.0012329638814592215
135,0.001170560930165336
140,0.001113378408308826
145,0.0010608285030511485
150,0.0010123965230012628
155,0.0009676391394550165
160,0.0009261710797844711
165,0.0008876584537710389
170,0.0008518137888056395
175,0.0008183825425070771
180,0.0007871416825691518
185,0.000757892023073369
190,0.0007304623335865971
195,0.0007046844877979818
200,0.0006804330640150266
