q, coeff
1.0e-8,0.9630841717346035
0.0200000098,1.0228789033448116
0.0400000096,1.0565317435761992
0.0600000094,1.0803323599737837
0.0800000092,1.097826122916489
0.100000009,1.1108573454347836
0.1200000088,1.1205118827393559
0.1400000086,1.127529268705006
0.1600000084,1.1324459948306025
0.1800000082,1.135639578892113
0.200000008,1.1374497418383975
0.2200000078,1.1381224590714998
0.2400000076,1.1378549949116878
0.2600000074,1.1368054525056257
0.2800000072,1.1351100974429111
0.300000007,1.1328893694102027
0.3200000068,1.1302302753104754
0.3400000066,1.127211964599365
0.3600000064,1.123899454309078
0.3800000062,1.1203471931088065
0.400000006,1.1166041117260268
0.4200000058,1.112707657330969
0.4400000056,1.1086937723803505
0.4600000054,1.104589351470592
0.4800000052,1.1004180514471027
0.500000005,1.0962019104349876
0.5200000048,1.0919577122898012
0.5400000046,1.0877010980694102
0.5600000044,1.083443782446481
0.5800000042,1.0791963000043274
0.600000004,1.0749674711261694
0.6200000038,1.070763839429616
0.6400000036,1.066592509592538
0.6600000034,1.062457907128591
0.6800000032,1.0583642537650348
0.700000003,1.0543138452461123
0.7200000028,1.0503100558391654
0.7400000026,1.0463546318560548
0.7600000024,1.0424489987085734
0.7800000022,1.0385944431722753
0.800000002,1.0347923751327637
0.8200000018,1.0310440245716073
0.8400000016,1.027351079340901
0.8600000014,1.023715825249151
0.8800000012,1.0201411254769788
0.900000001,1.016630075067264
0.9200000008,1.013181483646611
0.9400000006,1.0097947788333448
0.9600000004,1.0064706447786163
0.9800000002,1.00320701672134
1.0,0.999999521281315
