N,obj
10,0.09722710926696515
15,0.06726688319304523
20,0.051449523034882705
25,0.04166504581576696
30,0.03501215673841935
35,0.03019377656236076
40,0.026542562730304347
45,0.023679996415787375
50,0.02137531142407189
55,0.0194798154817711
60,0.017893375067646704
65,0.016546055223357375
70,0.015387573381117122
75,0.014380797899727413
80,0.013497752493348244
85,0.012716947238136805
90,0.012021577001619498
95,0.01139835559119138
100,0.010836599898223307
105,0.01032764583864734
110,0.009864370716710105
115,0.009440888443554203
120,0.009052295831677843
125,0.00869443659585308
130,0.00836380376171372
135,0.008057409877442696
140,0.007772677516073676
145,0.0075073892787972584
150,0.007259615506191478
155,0.007027685010143156
160,0.006810119203532744
165,0.00660562287858223
170,0.0064130533792747975
175,0.0062313968173314535
180,0.006059751574725368
185,0.005897310960775403
190,0.005743385321203749
195,0.005597246377502984
200,0.005458393495682208
205,0.005326225359061793
210,0.0052003507533494725
215,0.005080253877628551
220,0.004965597056674481
225,0.004856002845101518
230,0.004751142400369393
235,0.0046507171013202495
240,0.004554449360719277
245,0.004462085102043978
250,0.004373422239945994
255,0.004288193549178311
260,0.004206193655386034
265,0.004127443941018605
270,0.0040513053114006325
275,0.003978092637058549
280,0.003907529249626042
285,0.0038393379027879837
290,0.0037737940992054898
295,0.0037099161655526998
300,0.0036484625070387893
305,0.0035887980638285933
310,0.0035311971486414635
315,0.0034754405837002875
320,0.003421587783779369
325,0.0033693090658185806
330,0.0033183110608451406
335,0.0032689490129312075
340,0.0032211321393521295
345,0.003174846372192555
350,0.003129735763125378
355,0.0030857944412882145
360,0.003043163987335758
365,0.003001573445193448
370,0.002961044947684601
375,0.002922079684668388
380,0.0028834675454799505
385,0.0028464431507065637
390,0.0028099291786067744
395,0.0027744744796840627
400,0.0027399422730522496
